세계기후평년값,,,,,,,,,,
[검색조건],,,,,,,,,,
검색구분 : 월별평년값,,,,,,,,,,
, 지점명 : 전체,,,,,,,,,
, 기간 : 1990년대 11월,,,,,,,,,
국가,지점명,지점번호,시작년도,종료년도,월,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),일조시간(hr)
호주,ST 조지 에어포트,94517,1998,2010,11,25,31.3,18,64,
튀니지공화국,가베스,60765,1991,2020,11,18,22.8,13.6,19,221
인도네시아,게세르,97748,1991,2020,11,29.7,34.3,5,111,220
벨라루스,고멜,33041,1991,2020,11,1.6,4,-0.5,45,41
멕시코,과나후아토,76577,1991,2020,11,16.4,25.3,9.6,22,218
프랑스,구흐동,7535,1991,2020,11,8.8,12.6,512.6,76,95
바하마,나소 뉴프로비던스,78073,1991,2020,11,24.7,28.3,21.1,87,225
프랑스,낭트,7222,1991,2020,11,9.4,12.9,512.9,94,91
베트남,냐짱,48877,1991,2020,11,26.1,28.7,23.9,401,143
유고슬라비아,니스,13388,1991,2020,11,7.4,13,3.3,49,84
네덜란드,데 코이,6235,1991,2020,11,7.5,9.7,4.9,84,63
남극(호주),데이비스 해협,89571,1991,2020,11,-4.3,-1.5,-7.1,3,249
일본,도쿄,47662,1991,2020,11,12.5,16.7,8.8,96,150
네덜란드,드 빌트,6260,1991,2020,11,6.7,9.6,3.6,80,63
몰타,루카,16597,1991,2020,11,17.9,20.8,1520.8,89,181
파키스탄,물탄,41675,2000,2000,11,19.4,28.8,11.4,2,245
중국,타중,51747,1997,2010,11,1,11.6,,,222
폴리네시아,타카로아,91943,1991,2020,11,27.9,30.3,2530.3,159,
베트남,판티엣,48887,1991,2020,11,26.9,31,23.9,41,216
에콰도르,포르토베이조,84135,2000,2002,11,24.6,30.7,20.6,4,113
